区分,セクション,設定項目,キー/値・識別子,候補値 / 型,説明,ファイル/場所,例
追加提案,テーマ,背景フェード時間,bgFadeMs,数値(ms),背景切替のアニメ時間,ip-config.json（新設想定）,300
追加提案,テーマ,キャラ立ち位置,characterAnchor,オブジェクト,キャラ画像の上下左右のバランス,ip-config.json（新設想定）,"{'bottom':'5%','right':'0%'}"
追加提案,UIテキスト,温度バッジの書式,tempFormat,文字列,例: '気温: {temp}℃' のテンプレ,ip-config.json（新設想定）,'気温: {temp}℃'
追加提案,UIテキスト,日付フォーマット,dateFormat,文字列,和暦/英語など任意フォーマット,ip-config.json（新設想定）,'YYYY/MM/DD (ddd)'
追加提案,UIテキスト,エラーメッセージ,errorTexts,オブジェクト,位置情報不可/天気取得失敗などの文言,ip-config.json（新設想定）,{'geoDenied':'位置情報が許可されていません'}
追加提案,サウンド仕様,フォーマット優先度,audioPreference,配列,再生の優先順を指定,ip-config.json（新設想定）,"['wav','mp3']"
追加提案,サウンド仕様,最大再生回数/クールダウン,cooldown,オブジェクト,連打防止や端末負荷対策,ip-config.json（新設想定）,"{'maxTimes':3,'cooldownMs':2000}"
追加提案,サウンド仕様,デフォルト音量比,defaultVolume,数値(0-1),端末音量に乗算する係数,ip-config.json（新設想定）,0.8
追加提案,演出フラグ,パララックスON/OFF,parallax,真偽値,背景の視差効果の切替,ip-config.json（新設想定）,true
追加提案,演出フラグ,軽量版アニメ切替,liteAnimation,真偽値,低スペック向けにアニメ/演出を抑制,ip-config.json（新設想定）,false
追加提案,機能スイッチ,バッジ表示可否,showBadges,オブジェクト,日付/温度の個別表示ON/OFF,ip-config.json（新設想定）,"{'date':true,'temp':true}"
追加提案,機能スイッチ,タップ再生対象要素,tapTargets,配列,タップで再生させる要素を限定,ip-config.json（新設想定）,"['#character','#line']"
追加提案,機能スイッチ,長押し/右クリック抑止,preventContext,真偽値,抑止の有無を切替,ip-config.json（新設想定）,true
追加提案,セキュリティ,トークン寿命,tokenTTL,数値(秒),ワンタイム/短期トークン運用の足がかり,ip-config.json（新設想定）,300
追加提案,セキュリティ,認可失敗時の遷移先,deniedRedirect,文字列(URL/パス),IP別の拒否ページに遷移,ip-config.json（新設想定）,/denied.html?ip=animeA
追加提案,アセット拡張,季節差分の背景,seasonalBg,配列/規則,spring/summer/autumn/winter で差し替え,ip-config.json（新設想定）,bg_daytime_sunny_summer.png
追加提案,アセット拡張,イベント差分の背景,eventBg,配列/規則,ハロウィン/クリスマス等の限定演出,ip-config.json（新設想定）,bg_night_snowy_xmas.png
運用手順,新規IP導入,画像/音声の配置,img/voice ディレクトリ,ファイル配置,規則に従って背景PNG・キャラPNG・WAVを設置,"/img/{ip}/, /voice/{ip}/{character}/","bg_daytime_sunny.png, morning.wav"
運用手順,新規IP導入,キャラ定義作成,characters/{ip}/{character}.json,JSON,expressions と lines を雛形から作成,/characters/animeA/alice.json,-
運用手順,新規IP導入,トークン登録,token-map.json,JSON,"{token:{character,ip}} を追加",/token-map.json,"{""xyz789"":{""character"":""clara"",""ip"":""animeB""}}"
運用手順,新規IP導入,テーマ/文言調整,ip-config.json（任意）,JSON,ブランドごとのテーマや文言を調整,/ip-config.json,--brand-color など
運用手順,新規IP導入,APIキー差替/デプロイ,main.js / 環境,文字列/手順,apiKey差替後にデプロイ,main.js,apiKey='PROD_KEY'
